# N64 retail ROM size by ROM ID (4-char game code at cartridge header offset 0x3B).
# KiB = spreadsheet ROM Size (MB) column times 1024 (MiB). Source: n64_roms_complete.xlsx.
# Output file: n64-gameid.tsv (ROM_ID<TAB>KIB)
NKRP	12288
NKTE	12288
NKTJ	12288
NKTP	12288
NL2E	12288
NL2P	12288
NLBP	32768
NLCE	4096
NLCP	4096
NLGE	16384
NLGP	16384
NLRE	8192
NLRJ	8192
NLRP	8192
NM3E	8192
NM3P	8192
NM4E	16384
NM4P	16384
NM6E	32768
NM8E	16384
NM8J	16384
NM8P	16384
NMBE	12288
NMDE	12288
NMEE	12288
NMEP	12288
NMFE	32768
NMFJ	32768
NMFP	32768
NMGE	16384
NMGP	16384
NMIE	12288
NMIP	12288
NMKE	12288
NMKP	12288
NMLE	32768
NMLJ	32768
NMLP	32768
NMOE	8192
NMPJ	16384
NMQE	40960
NMQJ	40960
NMQP	49152
NMRE	12288
NMRJ	12288
NMRP	12288
NMTE	16384
NMTJ	16384
NMTP	16384
NMUE	12288
NMVE	32768
NMVJ	32768
NMVP	32768
NMWE	32768
NMWJ	32768
NMWP	32768
NMXE	16384
NMXJ	16384
NMXP	16384
NMYE	16384
NMYP	16384
NMZJ	12288
NN2E	12288
NN6E	4096
NNAE	32768
NNBE	12288
NNCE	16384
NNLE	16384
NNLP	16384
NNME	4096
NNSE	16384
NNSP	16384
NNSX	16384
NO2J	16384
NO7E	32768
NO7P	32768
NOBE	40960
NOBJ	40960
NOFE	16384
NOFP	16384
NOHE	16384
NOMJ	16384
NOSJ	16384
NOWE	8192
NP3E	65536
NP3J	65536
NP3P	65536
NP4J	12288
NP6J	16384
NP9E	12288
NPAJ	16384
NPDE	32768
NPDJ	32768
NPDP	32768
NPFE	16384
NPFJ	16384
NPFP	16384
NPGE	16384
NPGJ	16384
NPMP	16384
NPNE	32768
NPNP	32768
NPOE	32768
NPOP	32768
NPRE	16384
NPSJ	16384
NPUE	12288
NPUP	12288
NPWE	8192
NPWJ	8192
NPWP	8192
NPXE	12288
NQ2E	12288
NQ2P	12288
NQ8E	8192
NQ8P	8192
NQ9E	12288
NQ9P	12288
NQBE	12288
NQBP	12288
NQCE	12288
NQKE	12288
NQKP	12288
NR2E	12288
NR3E	12288
NR6E	16384
NR6P	16384
NRAJ	12288
NRCE	12288
NRCJ	12288
NRCP	12288
NRDE	32768
NREE	65536
NREP	65536
NRGE	16384
NRHJ	32768
NRIE	12288
NRIP	12288
NRKE	16384
NROE	32768
NRPE	12288
NRPP	12288
NRRE	12288
NRSE	16384
NRSJ	16384
NRSP	16384
NRTE	8192
NRTP	8192
NRUE	12288
NRVE	12288
NRVP	12288
NRWE	8192
NRZE	32768
NRZJ	32768
NS3J	8192
NS6E	12288
NS6J	12288
NSAP	12288
NSBE	12288
NSBP	12288
NSCE	12288
NSCP	12288
NSDE	32768
NSDP	32768
NSFE	8192
NSGE	16384
NSGJ	16384
NSJJ	12288
NSKE	8192
NSKJ	8192
NSKP	8192
NSLE	32768
NSME	8192
NSMJ	8192
NSMP	8192
NSOE	16384
NSPE	8192
NSQE	32768
NSUE	12288
NSVE	8192
NSVP	8192
NSWE	12288
NSWJ	12288
NSWP	12288
NSYE	16384
NT2E	32768
NT2J	32768
NT2P	32768
NT4E	16384
NT4P	16384
NT6J	8192
NT9E	16384
NTAE	16384
NTBJ	12288
NTCJ	12288
NTEA	16384
NTEP	16384
NTFE	12288
NTHE	12288
NTIE	32768
NTIP	32768
NTJE	12288
NTJP	12288
NTKE	32768
NTME	8192
NTMJ	8192
NTMP	8192
NTNE	8192
NTNP	8192
NTPE	8192
NTQE	16384
NTRJ	8192
NTSJ	12288
NTSP	12288
NTTE	16384
NTUE	8192
NTUJ	8192
NTUP	8192
NTWJ	12288
NTXP	12288
NUMJ	32768
NUTJ	16384
NV2J	12288
NV3E	12288
NV3P	12288
NV8E	8192
NV8P	8192
NVBJ	32768
NVCE	4096
NVGE	12288
NVGP	12288
NVLE	8192
NVPJ	16384
NVRE	4096
NVYJ	8192
NW2E	16384
NW3E	12288
NW4E	32768
NW4P	32768
NW8E	8192
NWAE	12288
NWBE	4096
NWBJ	4096
NWBP	4096
NWDE	16384
NWDJ	16384
NWDP	16384
NWFE	4096
NWGE	8192
NWGJ	8192
NWIE	32768
NWIP	32768
NWLE	16384
NWME	16384
NWNE	12288
NWNP	12288
NWOE	16384
NWPE	8192
NWQE	12288
NWRE	8192
NWRJ	8192
NWRP	8192
NWSE	12288
NWSJ	16384
NWSP	12288
NWTE	8192
NWTJ	4096
NWUP	12288
NWVE	32768
NWWE	12288
NWXE	32768
NWXJ	32768
NWXP	32768
NWZE	16384
NWZP	16384
NX2E	16384
NX2P	16384
NX3E	32768
NX3P	32768
NXFE	12288
NXGE	12288
NXGP	12288
NXOE	16384
NY2E	32768
NY2P	32768
NYPE	12288
NYPP	12288
NYSE	16384
NYSJ	16384
NYSP	16384
NYWE	16384
NYWJ	16384
NZLP	32768
NZOE	16384
NZSE	32768
NZSJ	32768
NZSP	32768
